country,density,region,population
Bangladesh,1240,Asia,170
South Korea,530,Asia,51.6
Netherlands,511,Europe,17.6
Rwanda,499,Africa,13.8
India,455,Asia,1439
Burundi,435,Africa,12.9
Haiti,404,Americas,11.7
Belgium,377,Europe,11.65
Philippines,358,Asia,118.8
Japan,347,Asia,124.6
Sri Lanka,346,Asia,21.8
Vietnam,308,Asia,99.8
Pakistan,275,Asia,235.6
United Kingdom,275,Europe,69.1
Germany,237,Europe,83.2
Dominican Rep.,220,Americas,11.1
Nigeria,215,Africa,229.8
Uganda,213,Africa,49.4
North Korea,212,Asia,26
Italy,205,Europe,60
Nepal,196,Asia,30.8
Malawi,192,Africa,20.5
Guatemala,161,Americas,18.3
China,148,Asia,1423
Indonesia,148,Asia,277.8
Czech Republic,138,Europe,10.72
Thailand,136,Asia,71.6
Ghana,131,Africa,33.7
Poland,124,Europe,37.8
France,122,Europe,65.7
Portugal,112,Europe,10.3
Ethiopia,109,Africa,125
Cuba,109,Americas,11.2
Turkey,107,Asia,85.85
Benin,102,Africa,14.1
Egypt,99,Africa,113.2
Malaysia,96,Asia,34
Spain,92,Europe,47.55
Cambodia,92,Asia,17.2
Syria,92,Asia,18.2
